reference,count
"bourdieu p., distinction: a social critique of the judgement of taste, (1984)",1095
"bourdieu p., outline of a theory of practice, (1977)",958
"bourdieu p., the logic of practice, (1990)",835
"bourdieu p., distinction: a social critique of the judgment of taste, (1984)",530
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of education, pp. 241-258, (1986)",497
"bourdieu p., language and symbolic power, (1991)",379
"bourdieu p., wacquant l., an invitation to reflexive sociology, (1992)",377
"bourdieu p., pascalian meditations, (2000)",352
"bourdieu p., distinction, (1984)",342
"bourdieu p., wacquant l.j.d., an invitation to reflexive sociology, (1992)",272
"bourdieu p., homo academicus, (1988)",198
"bourdieu p., the field of cultural production, (1993)",194
"bourdieu p., masculine domination, (2001)",165
"bourdieu p., sociology in question, (1993)",152
"bourdieu p., practical reason: on the theory of action, (1998)",149
"bourdieu p., passeron j.-c., reproduction in education, society and culture, (1977)",132
"bourdieu p., the rules of art: genesis and structure of the literary field, (1996)",124
"bourdieu p., the field of cultural production: essays on art and literature, (1993)",123
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of education, (1986)",118
"bourdieu p., in other words: essays towards a reflexive sociology, (1990)",114
"bourdieu p., social space and symbolic power, sociological theory, 7, 1, pp. 14-25, (1989)",113
"bourdieu p., the state nobility: elite schools in the field of power, (1996)",110
"bourdieu p., the social structures of the economy, (2005)",106
"bourdieu p., passeron j.-c., reproduction in education, society and culture, (1990)",102
"bourdieu p., practical reason, (1998)",95
"bourdieu p., passeron j.c., reproduction in education, society and culture, (1977)",89
"bourdieu p., cultural reproduction and social reproduction, power and ideology in education, pp. 487-511, (1977)",87
"bourdieu p., distinction. a social critique of the judgement of taste, (1984)",86
"bourdieu p., science of science and reflexivity, (2004)",79
"bourdieu p., the state nobility, (1996)",77
"bourdieu p., passeron j.c., reproduction in education, society and culture, (1990)",73
"bourdieu p., the social space and the genesis of groups, theory and society, 14, 6, pp. 723-744, (1985)",70
"bourdieu p., distinction: a social critique of the judgement of taste, (1986)",66
"bourdieu p., the rules of art, (1996)",59
"bourdieu p., sport and social class, social science information, 17, 6, pp. 819-840, (1978)",58
"bourdieu p., the weight of the world: social suffering in contemporary society, (1999)",56
"bourdieu p., the logic of practice, (1980)",52
"bourdieu p., what makes a social class? on the theoretical and practical existence of groups, berkeley journal of sociology, 32, pp. 1-17, (1987)",51
"bourdieu p., passeron j.-c., reproduction in education, society, and culture, (1977)",50
"bourdieu p., the logic of practice, (1992)",48
"bourdieu p., le sens pratique, (1980)",46
"bourdieu p., acts of resistance: against the tyranny of the market, (1998)",45
"bourdieu p., distinction: a social critique of the judgement of taste, (1979)",45
"bourdieu p., wacquant l.j., an invitation to reflexive sociology, (1992)",43
"bourdieu p., homo academicus, (1984)",42
"bourdieu p., in other words, (1990)",41
"bourdieu p., outline of a theory of practice, (1972)",39
"bourdieu p., handbook of theory and research for the sociology of education, pp. 241-258, (1986)",39
"bourdieu p., language and symbolic power, (1992)",38
"bourdieu p., la distinction. critique sociale du jugement, (1979)",37
"bourdieu p., social space and symbolic power, sociological theory, 7, pp. 14-25, (1989)",36
"bourdieu p., m̩ditations pascaliennes, (1997)",34
"bourdieu p., la distinction: critique sociale du jugement, (1979)",33
"bourdieu p., the social space and the genesis of groups, theory and society, 14, pp. 723-744, (1985)",32
"bourdieu p., acts of resistance: against the new myths of our time, (1998)",29
"bourdieu p., la distinction, (1979)",29
"bourdieu p., distinction: a social critique of the judgement of taste., (1984)",29
"bourdieu p., distinction: a social critique of the judgement of taste, (2010)",29
"bourdieu p., pascalian meditations, (1997)",28
"bourdieu p., cultural reproduction and social reproduction, power and ideology in education, (1977)",28
"bourdieu p., et al., the weight of the world: social suffering in contemporary society, (1999)",28
"bourdieu p., rethinking the state: genesis and structure of the bureaucratic field, sociological theory, 12, 1, pp. 1-18, (1994)",27
"bourdieu p., the state nobility: elite schools in the field of power, (1998)",27
"bourdieu p., the specificity of the scientific field and the social conditions of the progress of reason, social science information, 14, 6, pp. 19-47, (1975)",27
"bourdieu p., passeron j.c., reproduction in education, society, and culture, (1977)",26
"bourdieu p., passeron j.-c., the inheritors: french students and their relation to culture, (1979)",26
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of education, pp. 241-258, (1985)",25
"bourdieu p., on television and journalism, (1998)",25
"bourdieu p., passeron j., reproduction in education, society and culture, (1977)",25
"bourdieu p., genesis and structure of the religious field, comparative social research, 13, pp. 1-44, (1991)",25
"bourdieu p., distinction, (1986)",25
"bourdieu p., the forms of capital, handbook of theory of research for the sociology of education, pp. 241-258, (1986)",25
"bourdieu p., sport and social class, social science information, 17, pp. 819-840, (1978)",25
"bourdieu p., homo academicus, (1990)",23
"bourdieu p., sketch for a self-analysis, (2007)",23
"bourdieu p., on television, (1998)",22
"bourdieu p., habitus, habitus: a sense of place, pp. 27-34, (2002)",21
"bourdieu p., forms of capital, handbook of theory and research for the sociology of education, pp. 241-258, (1986)",21
"bourdieu p., distinction: a social critique of the judgment of taste, (1979)",20
"bourdieu p., the political ontology of martin heidegger, (1991)",20
"bourdieu p., la domination masculine, (1998)",20
"bourdieu p., cultural reproduction and social reproduction, knowledge, education and cultural change, pp. 71-112, (1973)",20
"bourdieu pierre, distinction: a social critique of the judgement of taste, (1984)",19
"bourdieu p., outline of a theory of practice, 16, (1977)",19
"bourdieu p., wacquant l., invitation to reflexive sociology, (1992)",19
"bourdieu p., passeron j., reproduction in education, society and culture, (1990)",19
"bourdieu p., the algerians, (1962)",19
"bourdieu p., the field of cultural production, or: the economic world reversed, poetics, 12, 4-5, pp. 311-356, (1983)",18
"bourdieu p., acts of resistance, (1998)",17
"bourdieu p., other words: essays towards a reflexive sociology, (1990)",17
"bourdieu p., what makes a social class? on the theoretical and practical existence of groups, berkeley journal of sociology, 32, pp. 1-18, (1987)",17
"bourdieu p., masculine domination, (1998)",16
"bourdieu p., program for a sociology of sport, sociology of sport journal, 5, pp. 153-161, (1988)",16
"bourdieu p., wacquant l., on the cunning of imperialist reason, theory, culture & society, 16, 1, pp. 41-58, (1999)",16
"bourdieu p., outline of a theory of practice., (1977)",16
"bourdieu p., the weight of the world, (1999)",16
"bourdieu p., an invitation to reflexive sociology, (1992)",16
"bourdieu p., algeria 1960, (1979)",16
"bourdieu p., chamboredon j.-c., passeron j.-c., the craft of sociology: epistemological preliminaries, (1991)",16
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of education, pp. 46-58, (1986)",16
"bourdieu p., the forms of capital, handbook for theory and research for the sociology of education, pp. 241-258, (1986)",16
"bourdieu p., passeron j.c., the inheritors: french students and their relation to culture, (1979)",15
"bourdieu p., the political field, the social science field, and the journalistic field, bourdieu and the journalistic field, pp. 29-47, (2005)",15
"bourdieu p., distinction: a social critique of the judgement of taste, (1987)",15
"bourdieu p., la mis̬re du monde, (1993)",15
"bourdieu p., outline of a theory of practice, (1979)",15
"bourdieu p., passeron j.c., reproduction in education, society, and culture, (1990)",15
"bourdieu p., choses dites, (1987)",15
"bourdieu p., program for a sociology of sport, sociology of sport journal, 5, 2, pp. 153-161, (1988)",15
"bourdieu p., making the economic habitus: algerian workers revisited, ethnography, 1, 1, pp. 17-41, (2000)",14
"bourdieu p., cultural reproduction and social reproduction, knowledge, education, and cultural change, pp. 71-112, (1973)",14
"bourdieu p., the school as a conservative force: scholastic and cultural inequalities, contemporary research in the sociology of education, pp. 32-46, (1974)",14
"bourdieu p., firing back: against the tyranny of the market 2, (2003)",14
"bourdieu p., cultural reproduction and social reproduction, knowledge, education and cultural change, (1973)",14
"bourdieu p., the state nobility. elite schools in the field of power, (1996)",13
"bourdieu p., the forms of capital, handbook of theory and research in the sociology of education, pp. 241-258, (1986)",13
"bourdieu p., on the state, (2014)",13
"bourdieu p., masculine domination, (2002)",13
"bourdieu pierre, the logic of practice, (1990)",13
"bourdieu p., distinction, (1979)",12
"bourdieu p., language & symbolic power, (1991)",12
"bourdieu p., questions de sociologie, (1980)",12
