Concept,Chi-square,p-value,Degrees of freedom
Bourdieu,384.893699275779,2.63873114205566e-84,2
Bourdieu Reflexivity,33.22255406701181,6.106804922362544e-08,2
Other Reflexivity,34.07874688952206,3.980101411274028e-08,2
Cultural Capital,75.81241138180121,3.4478156651818826e-17,2
Cultural Production,1.6026737864418095,0.44872866063137695,2
Social Capital,105.52509788171912,1.217632254502913e-23,2
Symbolic Capital,15.742038224809988,0.00038164522456357017,2
Symbolic Power,24.962139854353566,3.797870940066158e-06,2
Field,32.70770466820711,7.899728642629639e-08,2
Habitus,73.97142768687088,8.655827014677871e-17,2
Disposition,29.608887511449034,3.7197330138306623e-07,2
Relational Sociology,23.85782901575218,6.596874987028145e-06,2
Homology,9.517887664873333,0.008574660895411722,2
Social Space,32.037433271463364,1.1044848368086174e-07,2
Doxa,9.059720588644387,0.010782182299612812,2
Illusio,7.746272611723031,0.020793053677545283,2
