top_reference,total_count
"bourdieu p., distinction: a social critique of the judgement of taste, (1984)",2319
"bourdieu p., outline of a theory of practice, (1977)",1197
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of education, pp. 241-258, (1986)",1042
"bourdieu p., the logic of practice, (1990)",998
"bourdieu p., wacquant l., an invitation to reflexive sociology, (1992)",847
"bourdieu p., passeron j.-c., reproduction in education, society and culture, (1977)",715
"bourdieu p., language and symbolic power, (1991)",489
"bourdieu p., distinction, (1984)",426
"bourdieu p., pascalian meditations, (2000)",396
"bourdieu p., homo academicus, (1988)",285
"bourdieu p., the field of cultural production, (1993)",214
"bourdieu p., masculine domination, (2001)",206
"bourdieu p., the state nobility: elite schools in the field of power, (1996)",196
"bourdieu p., in other words: essays towards a reflexive sociology, (1990)",189
"bourdieu p., practical reason: on the theory of action, (1998)",184
"bourdieu p., social space and symbolic power, sociological theory, 7, 1, pp. 14-25, (1989)",178
"bourdieu p., sociology in question, (1993)",174
"bourdieu p., the rules of art: genesis and structure of the literary field, (1996)",164
"bourdieu p., cultural reproduction and social reproduction, power and ideology in education, pp. 487-511, (1977)",162
"bourdieu p., the field of cultural production: essays on art and literature, (1993)",155
"bourdieu p., the social space and the genesis of groups, theory and society, 14, 6, pp. 723-744, (1985)",145
"bourdieu p., the social structures of the economy, (2005)",129
"bourdieu p., the weight of the world: social suffering in contemporary society, (1999)",122
"bourdieu p., practical reason, (1998)",104
"bourdieu p., what makes a social class? on the theoretical and practical existence of groups, berkeley journal of sociology, 32, pp. 1-17, (1987)",103
"bourdieu p., la distinction. critique sociale du jugement, (1979)",102
"bourdieu p., the state nobility, (1996)",102
"bourdieu p., sport and social class, social science information, 17, 6, pp. 819-840, (1978)",100
"bourdieu p., science of science and reflexivity, (2004)",92
"bourdieu p., the forms of capital, education: culture, economy, and society, pp. 46-58, (1997)",80
"bourdieu p., passeron j.-c., the inheritors: french students and their relation to culture, (1979)",79
"bourdieu p., the rules of art, (1996)",69
"bourdieu p., cultural reproduction and social reproduction, knowledge, education and cultural change, pp. 71-112, (1973)",67
"bourdieu p., rethinking the state: genesis and structure of the bureaucratic field, sociological theory, 12, 1, pp. 1-18, (1994)",61
"bourdieu p., acts of resistance: against the tyranny of the market, (1998)",58
"bourdieu p., le sens pratique, (1980)",54
"bourdieu p., the force of law: toward a sociology of the juridical field, hastings law journal, 38, pp. 814-853, (1987)",53
"bourdieu p., the field of cultural production, or: the economic world reversed, poetics, 12, 4-5, pp. 311-356, (1983)",52
"bourdieu p., the specificity of the scientific field and the social conditions of the progress of reason, social science information, 14, 6, pp. 19-47, (1975)",52
"bourdieu p., in other words, (1990)",51
"wacquant l., towards a reflexive sociology: a workshop with pierre bourdieu, sociological theory, 7, 1, pp. 26-63, (1989)",49
"bourdieu p., wacquant l., on the cunning of imperialist reason, theory, culture & society, 16, 1, pp. 41-58, (1999)",48
"bourdieu p., mÃ©ditations pascaliennes, (1997)",46
"bourdieu p., sketch for a self-analysis, (2007)",45
"bourdieu p., habitus, habitus: a sense of place, pp. 27-34, (2002)",41
"bourdieu p., âthe forms of capitalâ, handbook of theory and research for the sociology of education, (1986)",40
"bourdieu p., genesis and structure of the religious field, comparative social research, 13, pp. 1-44, (1991)",39
"bourdieu p., chamboredon j.-c., passeron j.-c., the craft of sociology: epistemological preliminaries, (1991)",38
"bourdieu p., on the state: lectures at the collÃ¨ge de france, 1989â1992, (2014)",38
"bourdieu p., acts of resistance: against the new myths of our time, (1998)",38
"bourdieu p., la noblesse d'Ã©tat. grandes Ã©coles et esprit de corps, (1989)",33
"bourdieu p., passeron j.-c., la reproduction. Ã©lÃ©ments pour une thÃ©orie du systÃ¨me dâenseignement, (1970)",33
"bourdieu p., on the family as a realized category, theory, culture and society, 13, 3, pp. 19-26, (1996)",33
"bourdieu p., raisons pratiques. sur la thÃ©orie de l'action, (1994)",33
"bourdieu p., on television, (1998)",33
"bourdieu p., la distinction, (1979)",32
"bourdieu p., the political field, the social science field, and the journalistic field, bourdieu and the journalistic field, pp. 29-47, (2005)",32
"bourdieu p., firing back: against the tyranny of the market 2, (2003)",31
"bourdieu p., the weight of the world, (1999)",31
"bourdieu p., passeron j.-c., la reproduction, (1970)",30
"bourdieu p., le capital social: notes provisoires, actes de la recherche en sciences sociales, 31, pp. 2-3, (1980)",30
"bourdieu p., questions de sociologie, (1980)",30
"bourdieu p., the economics of linguistic exchanges, social science information, 16, pp. 645-668, (1977)",29
"bourdieu p., the school as a conservative force: scholastic and cultural inequalities, contemporary research in the sociology of education, pp. 32-46, (1974)",29
"bourdieu p., the algerians, (1962)",28
"bourdieu p., on television and journalism, (1998)",28
"bourdieu p., darbel a., the love of art: european art museums and their public, (1991)",27
"bourdieu p., reproduction in education, society, and culture, (1977)",27
"bourdieu p., the political ontology of martin heidegger, (1991)",27
"bourdieu p., distinction: a social critique of the judgement of taste, translated by richard nice, (1984)",26
"bourdieu p., symbolic power, critique of anthropology, 4, 13-14, pp. 77-85, (1979)",25
"bourdieu p., cultural reproduction and social reproduction, knowledge, education, and cultural change: papers in the sociology of education, pp. 71-112, (1973)",25
"bourdieu p., (1984)",24
"bourdieu p., the genesis of the concepts of habitus and field, sociocriticism, 2, 2, pp. 11-24, (1985)",24
"bourdieu p., program for a sociology of sport, sociology of sport journal, 5, pp. 153-161, (1988)",24
"bourdieu p., sociologie de l'algÃ©rie, (1958)",24
"bourdieu p., algeria 1960, (1979)",23
"bourdieu p., making the economic habitus: algerian workers revisited, ethnography, 1, 1, pp. 17-41, (2000)",23
"bourdieu p., an invitation to reflexive sociology, (1992)",23
"bourdieu p., la domination masculine, (1998)",23
"bourdieu p., the forms of capital, the sociology of economic life, pp. 96-111, (2001)",22
"bourdieu p., the forms of capital, readings in economic sociology, pp. 280-291, (2002)",22
"bourdieu p., the forms of capital, cultural theory: an anthology, pp. 81-93, (1986)",22
"bourdieu p., choses dites, (1987)",21
"bourdieu p., the production of belief: contribution to an economy of symbolic goods, media, culture & society, 2, 3, pp. 261-293, (1980)",21
"bourdieu p., sayad a., le dÃ©racinement: la crise de l'agriculture traditionnelle en algÃ©rie, (1964)",21
"bourdieu p., passeron j.-c., reproduction in education, culture and society, (1977)",21
"bourdieu p., la misÃ¨re du monde, (1993)",20
"bourdieu p., (1990)",20
"bourdieu p., the market of symbolic goods, poetics, 14, 1-2, pp. 13-44, (1985)",20
"bourdieu p., legitimation and structured interests in weberâs sociology of religion, max weber, rationality and modernity, pp. 119-136, (1987)",20
"bourdieu p., wacquant l., newliberalspeak: notes on the new planetary vulgate, radical philosophy, 105, pp. 2-5, (2001)",19
