doi,pdf_path,filename,extraction_date,source_title,original_length,processed_length
1-s2.0-S0049089X22001090-main,bourdieu_sociology_corpus\1-s2.0-S0049089X22001090-main.pdf,1-s2.0-S0049089X22001090-main.pdf,2025-03-12 18:15:09,,947,631
10.1002symb.113,bourdieu_sociology_corpus\10.1002symb.113.pdf,10.1002symb.113.pdf,2025-03-12 18:15:10,,1175,794
10.1002symb.118,bourdieu_sociology_corpus\10.1002symb.118.pdf,10.1002symb.118.pdf,2025-03-12 18:15:08,,1405,994
10.1002symb.13,bourdieu_sociology_corpus\10.1002symb.13.pdf,10.1002symb.13.pdf,2025-03-12 18:15:08,,1849,1184
10.1002symb.13,bourdieu_sociology_corpus\10.1002symb.13.pdf,10.1002symb.13.pdf,2025-03-12 18:15:08,,1104,681
10.1002symb.137,bourdieu_sociology_corpus\10.1002symb.137.pdf,10.1002symb.137.pdf,2025-03-12 18:15:08,,2129,1449
10.1002symb.149,bourdieu_sociology_corpus\10.1002symb.149.pdf,10.1002symb.149.pdf,2025-03-12 18:15:09,,651,404
10.1002symb.162,bourdieu_sociology_corpus\10.1002symb.162.pdf,10.1002symb.162.pdf,2025-03-12 18:15:10,,3214,2063
10.1002symb.166,bourdieu_sociology_corpus\10.1002symb.166.pdf,10.1002symb.166.pdf,2025-03-12 18:15:08,,2011,1345
10.1002symb.166,bourdieu_sociology_corpus\10.1002symb.166.pdf,10.1002symb.166.pdf,2025-03-12 18:15:08,,2667,1700
10.1002symb.166,bourdieu_sociology_corpus\10.1002symb.166.pdf,10.1002symb.166.pdf,2025-03-12 18:15:08,,2823,1869
10.1002symb.166,bourdieu_sociology_corpus\10.1002symb.166.pdf,10.1002symb.166.pdf,2025-03-12 18:15:08,,2056,1304
10.1002symb.166,bourdieu_sociology_corpus\10.1002symb.166.pdf,10.1002symb.166.pdf,2025-03-12 18:15:08,,3411,2149
10.1002symb.166,bourdieu_sociology_corpus\10.1002symb.166.pdf,10.1002symb.166.pdf,2025-03-12 18:15:08,,2516,1634
10.1002symb.185,bourdieu_sociology_corpus\10.1002symb.185.pdf,10.1002symb.185.pdf,2025-03-12 18:15:09,,2104,1436
10.1002symb.223,bourdieu_sociology_corpus\10.1002symb.223.pdf,10.1002symb.223.pdf,2025-03-12 18:15:10,,1470,919
10.1002symb.24,bourdieu_sociology_corpus\10.1002symb.24.pdf,10.1002symb.24.pdf,2025-03-12 18:15:08,,1712,1146
10.1002symb.24,bourdieu_sociology_corpus\10.1002symb.24.pdf,10.1002symb.24.pdf,2025-03-12 18:15:08,,954,646
10.1002symb.24,bourdieu_sociology_corpus\10.1002symb.24.pdf,10.1002symb.24.pdf,2025-03-12 18:15:08,,1080,800
10.1002symb.241,bourdieu_sociology_corpus\10.1002symb.241.pdf,10.1002symb.241.pdf,2025-03-12 18:15:10,,1496,1038
10.1002symb.258,bourdieu_sociology_corpus\10.1002symb.258.pdf,10.1002symb.258.pdf,2025-03-12 18:15:08,,2302,1587
10.1002symb.267,bourdieu_sociology_corpus\10.1002symb.267.pdf,10.1002symb.267.pdf,2025-03-12 18:15:08,,1255,836
10.1002symb.325,bourdieu_sociology_corpus\10.1002symb.325.pdf,10.1002symb.325.pdf,2025-03-12 18:15:08,,1744,1110
10.1002symb.338,bourdieu_sociology_corpus\10.1002symb.338.pdf,10.1002symb.338.pdf,2025-03-12 18:15:08,,1473,1022
10.1002symb.349,bourdieu_sociology_corpus\10.1002symb.349.pdf,10.1002symb.349.pdf,2025-03-12 18:15:08,,2292,1564
10.1002symb.360,bourdieu_sociology_corpus\10.1002symb.360.pdf,10.1002symb.360.pdf,2025-03-12 18:15:08,,1251,845
10.1002symb.360,bourdieu_sociology_corpus\10.1002symb.360.pdf,10.1002symb.360.pdf,2025-03-12 18:15:08,,2017,1380
10.1002symb.360,bourdieu_sociology_corpus\10.1002symb.360.pdf,10.1002symb.360.pdf,2025-03-12 18:15:08,,1100,667
10.1002symb.398,bourdieu_sociology_corpus\10.1002symb.398.pdf,10.1002symb.398.pdf,2025-03-12 18:15:09,,1598,1111
10.1002symb.400,bourdieu_sociology_corpus\10.1002symb.400.pdf,10.1002symb.400.pdf,2025-03-12 18:15:09,,2151,1465
10.1002symb.454,bourdieu_sociology_corpus\10.1002symb.454.pdf,10.1002symb.454.pdf,2025-03-12 18:15:09,,1080,718
10.1002symb.454,bourdieu_sociology_corpus\10.1002symb.454.pdf,10.1002symb.454.pdf,2025-03-12 18:15:09,,2091,1419
10.1002symb.454,bourdieu_sociology_corpus\10.1002symb.454.pdf,10.1002symb.454.pdf,2025-03-12 18:15:09,,1967,1329
10.1002symb.454,bourdieu_sociology_corpus\10.1002symb.454.pdf,10.1002symb.454.pdf,2025-03-12 18:15:09,,3238,2276
10.1002symb.454,bourdieu_sociology_corpus\10.1002symb.454.pdf,10.1002symb.454.pdf,2025-03-12 18:15:09,,2876,2003
10.1002symb.460,bourdieu_sociology_corpus\10.1002symb.460.pdf,10.1002symb.460.pdf,2025-03-12 18:15:12,,992,575
10.1002symb.460,bourdieu_sociology_corpus\10.1002symb.460.pdf,10.1002symb.460.pdf,2025-03-12 18:15:12,,2133,1431
10.1002symb.5,bourdieu_sociology_corpus\10.1002symb.5.pdf,10.1002symb.5.pdf,2025-03-12 18:15:11,,1424,880
10.1002symb.504,bourdieu_sociology_corpus\10.1002symb.504.pdf,10.1002symb.504.pdf,2025-03-12 18:15:12,,5158,3425
10.1002symb.504,bourdieu_sociology_corpus\10.1002symb.504.pdf,10.1002symb.504.pdf,2025-03-12 18:15:12,,2091,1426
10.1002symb.504,bourdieu_sociology_corpus\10.1002symb.504.pdf,10.1002symb.504.pdf,2025-03-12 18:15:12,,1961,1373
10.1002symb.504,bourdieu_sociology_corpus\10.1002symb.504.pdf,10.1002symb.504.pdf,2025-03-12 18:15:12,,2639,1824
10.1002symb.504,bourdieu_sociology_corpus\10.1002symb.504.pdf,10.1002symb.504.pdf,2025-03-12 18:15:12,,2888,2062
10.1002symb.504,bourdieu_sociology_corpus\10.1002symb.504.pdf,10.1002symb.504.pdf,2025-03-12 18:15:12,,2505,1730
