doi,paragraph_index,topic,term,count
10.1002symb.113,1,3,capital,1
10.1002symb.13,3,1,field,1
10.1002symb.13,4,4,field,1
10.1002symb.137,5,1,doxa,1
10.1002symb.162,7,3,field,1
10.1002symb.162,7,3,capital,1
10.1002symb.162,7,3,cultural capital,1
10.1002symb.166,8,0,capital,1
10.1002symb.166,8,0,cultural capital,1
10.1002symb.166,8,0,doxa,2
10.1002symb.166,9,0,habitus,1
10.1002symb.166,9,0,field,1
10.1002symb.166,9,0,capital,1
10.1002symb.166,9,0,cultural capital,1
10.1002symb.166,10,0,habitus,2
10.1002symb.166,10,0,capital,1
10.1002symb.166,10,0,cultural capital,1
10.1002symb.166,12,0,doxa,2
10.1002symb.166,13,0,field,1
10.1002symb.166,13,0,doxa,2
10.1002symb.185,14,3,doxa,1
10.1002symb.223,15,3,habitus,1
10.1002symb.223,15,3,field,1
10.1002symb.24,18,3,capital,1
10.1002symb.241,19,1,symbolic power,1
10.1002symb.258,20,2,capital,1
10.1002symb.338,23,4,field,1
10.1002symb.338,23,4,capital,1
10.1002symb.338,23,4,symbolic capital,1
10.1002symb.349,24,1,field,1
10.1002symb.349,24,1,doxa,1
10.1002symb.360,25,0,field,1
10.1002symb.360,26,0,field,1
10.1002symb.360,27,0,field,2
10.1002symb.400,29,2,capital,1
10.1002symb.400,29,2,cultural capital,1
10.1002symb.454,30,2,field,1
10.1002symb.454,30,2,capital,2
10.1002symb.454,30,2,doxa,1
10.1002symb.454,31,2,field,3
10.1002symb.454,31,2,capital,2
10.1002symb.454,31,2,symbolic capital,1
10.1002symb.454,32,3,capital,3
10.1002symb.454,32,3,cultural capital,1
10.1002symb.454,32,3,doxa,1
10.1002symb.454,33,4,habitus,3
10.1002symb.454,33,4,field,3
10.1002symb.454,33,4,capital,18
10.1002symb.454,33,4,economic capital,1
10.1002symb.454,33,4,cultural capital,1
10.1002symb.454,33,4,social capital,2
10.1002symb.454,33,4,symbolic capital,2
10.1002symb.454,34,2,habitus,2
