wos_journal_country,source_title,wos_journal_topic,wos_journal_aims,year_founded,link,,
uk,ethnic and racial studies,race,"Ethnic and Racial Studies is the leading international journal for the analysis of the role of race, racism, ethnicity, migration and forms of ethno-nationalism. These social phenomena are at the heart of many of the major social and political issues in the modern world. As the leading journal in these areas we seek to provide an interdisciplinary academic forum for the presentation of original research and theoretical analysis, drawing particularly on sociology, social policy, anthropology, political science, international relations, geography, history, social psychology and cultural studies.",,https://www.tandfonline.com/journals/rers20,,
us,annals of tourism research,industry,"Annals of Tourism Research is a social sciences journal focusing upon academic perspectives on tourism. For the purposes of determining areas of interest, tourism is defined as a global economic activity comprising travel behaviour, the management and marketing activities of service industries that arise to meet consumer demand, the effects of tourism activities on communities and policy and governance at local, national and international levels. While striving for a balance of theory and application, Annals is ultimately dedicated to developing theoretical constructs that span business and the social and behavioural sciences. Disciplinary areas include, but are not limited to: service industries management, marketing science, consumer marketing, decision-making and behaviour, business ethics, economics and forecasting, environment, geography and development, education and knowledge development, political science and administration, consumer-focused psychology, and anthropology and sociology. Its strategies are to invite and encourage offerings from various disciplines; to serve as a forum through which these may interact; and thus to expand frontiers of knowledge in and contribute to the literature on tourism social science from a multidisciplinary perspective.",,https://www.sciencedirect.com/journal/annals-of-tourism-research/about/aims-and-scope,,
us,social science quarterly,generalist,"Nationally recognized as one of the top journals in the field, Social Science Quarterly (SSQ) publishes current research on a broad range of topics including political science, sociology, economics, history, social work, geography, international studies, and women's studies. SSQ is the journal of the Southwestern Social Science Association.",,https://onlinelibrary.wiley.com/page/journal/15406237/homepage/productinformation.html,,
us,social science research,quantitative,"Social Science Research publishes papers devoted to quantitative social science research and methodology. The journal features articles that illustrate the use of quantitative methods to empirically test social science theory. The journal emphasizes research concerned with issues or methods that cut across traditional disciplinary lines. Special attention is given to methods that have been used by only one particular social science discipline, but that may have application to a broader range of areas with an ultimate goal of testing social science theory.",,https://www.sciencedirect.com/journal/social-science-research/about/aims-and-scope,,
us,journal of marriage and family,family,"The Journal of Marriage and Family (JMF), published by the National Council on Family Relations, has been the leading research journal in the family field for more than 75 years and is consistently the most highly cited journal in Family Science. JMF features original research and theory using the variety of methods reflective of the full range of social sciences, including quantitative, qualitative, and multi-method designs; research interpretation; integrative review; reports on methodological and statistical advances; and critical discussion concerning all aspects of marriage, other forms of close relationships, and families. The journal also publishes brief reports.",,https://onlinelibrary.wiley.com/page/journal/17413737/homepage/productinformation.html,,
us,social forces,generalist,"Established in 1922, Social Forces is recognized as a global leader among social research journals. Social Forces publishes articles of interest to a general social science audience and emphasizes cutting-edge sociological inquiry as well as explores realms the discipline shares with psychology, anthropology, political science, history, and economics. Social Forces is published by Oxford University Press in partnership with the Department of Sociology at the University of North Carolina at Chapel Hill.",1922,https://academic.oup.com/sf/pages/About,,
us,international journal of intercultural relations,immigration,"IJIR is dedicated to advancing knowledge and understanding of theory, research and practice in the field of intercultural relations, including, but not limited to, topics such as immigrant acculturation and integration; intergroup relations, and intercultural communication that have implications for social impact. The journal publishes quantitative and qualitative empirical research and reviews of research literature. Both full length papers and brief reports are published with high priority given to manuscripts that join theory and research with applications in the areas of education, health, social welfare and organizational and community development. IJIR provides an interdisciplinary forum for scholars in fields of psychology, communication, education, management, sociology and related disciplines.",,https://www.sciencedirect.com/journal/international-journal-of-intercultural-relations/about/aims-and-scope,,
uk,sport in society,sport,"The vibrant growth in global academia’s focus upon examining sport’s significance for modern society reflects sports impact on the intersecting domains of culture, identity, politics, governance, business, industry, communication, technology and so on. Sport in Society is an international forum for academics and professionals to engage in these critical debates. The journal publishes original and outstanding peer-reviewed articles and commentaries that advance the understanding of key issues in professional and recreational sport, physical education and exercise, lifestyle and ‘alternative’ sport, and coaching in a social context.",,https://www.tandfonline.com/journals/fcss20/about-this-journal#aims-and-scope,,
us,society,generalist,"Founded in 1962, Society enjoys a wide reputation as a journal that publishes the latest scholarship on the central questions facing contemporary society. It produces six issues a year offering new ideas and quality research in the social sciences and humanities in an intellectually accessible and robust style.",,https://link.springer.com/journal/12115/aims-and-scope,,
us,human ecology,biological,"The theoretical orientation of Human Ecology emphasizes the problem-solving significance of human culture and behavior, from food procurement to systems defining kinship—not to mention political and religious life. The perspective generally embraced here is that human ecology is part and parcel of the larger field of ecology and not simply analogous to it. Contributions to Human Ecology emphasize the complex ways in which humans shape and in turn are shaped by their environment. Original articles, research reports, and brief communications based on empirical research are welcome from fields as diverse as environmental impact studies, resource or habitat maintenance, health and nutrition, risk management, land use history—to name a few. Disciplines commonly represented include anthropology, biological, life and health sciences, geography, and sociology. The journal is peer reviewed. A book review section appears in each issue.",,https://link.springer.com/journal/10745/aims-and-scope,,
